Types	TFBgnID	Tchr	Tbeg	Tend	QFBgnID	Qchr	Qbeg	Qend	w1118_f_ac	w1118_f_dg	w1118_f_ge	w1118_f_go	w1118_f_hd	w1118_f_re	w1118_f_tx	w1118_f_wb	w1118_m_ac	w1118_m_dg	w1118_m_ge	w1118_m_go	w1118_m_hd	w1118_m_re	w1118_m_tx	w1118_m_wb	oreR_f_ac	oreR_f_dg	oreR_f_ge	oreR_f_go	oreR_f_hd	oreR_f_re	oreR_f_tx	oreR_f_wb	oreR_m_ac	oreR_m_dg	oreR_m_ge	oreR_m_go	oreR_m_hd	oreR_m_re	oreR_m_tx	oreR_m_wb	dpse_f_ac	dpse_f_dg	dpse_f_go	dpse_f_hd	dpse_f_re	dpse_f_tx	dpse_f_wb	dpse_m_ac	dpse_m_dg	dpse_m_go	dpse_m_hd	dpse_m_re	dpse_m_tx	dpse_m_wb
conserved	FBgn0031292	2L	877172	885141	FBgn0249102	4_group2	361055	460841	0	0	0	1.98408632526564	4.49457772492039	1.06298823901539	0.624641742308312	1.41103718041291	0.77968535648239	0	3.66711548329359	3754.15455023613	11.3437998202713	0	0.872711298577593	738.458320229589	0	0	0	1.82633369014773	0.516947065219637	2.29358057323569	4.67578275364499	0.241913581568607	1.90228243643812	1.02270348507802	10.8545116395934	3546.57019624657	2.81417854908524	0	1.63260787002972	633.520506858526	4.95963597036136	5.86061277196375	2.45001015881243	9.61347849122724	17.2564752359554	18.6291753071359	5.4765847132782	10.0248227434928	18.1272395475153	2512.89019039811	18.869938717941	40.0921345986016	27.6575229854303	723.859839086533
conserved	FBgn0031320	2L	1182297	1184020	FBgn0244051	XL_group1a	6487418	6489377	167.625536588783	230.131058744024	62.0850813134433	140.899361237643	104.805254925602	129.852208791905	100.448505327314	120.175916373628	179.086185205354	264.355718689775	68.7795980032199	49.5106031719604	86.0702397294926	157.457115518449	44.667485142465	90.8622246599354	174.760374714955	141.301992963741	96.7326848495176	150.409524447555	77.9601711335634	130.464745532	69.1864073802805	145.010557412526	203.660293622057	110.989830193081	69.9608575305803	49.125108252022	68.1923347409797	151.111097450867	53.3811020771517	86.0836183270466	190.967214012393	289.582913631124	177.922886794554	93.6704383993549	126.596263419141	89.7200452841225	136.717272371674	90.008200904383	118.934988425367	59.2504525411695	68.3754886364217	100.394331284733	79.1640394041021	55.9004076282619
conserved	FBgn0031321	2L	1184065	1185698	FBgn0078548	4_group3	9632371	9634133	72.6251222374215	92.2607100663353	41.6126572630042	98.9125708810866	45.0190698477166	48.1771503817046	44.5733934769161	82.1966562841949	43.0033104217461	52.7334403081655	23.404067960881	37.4608831364041	39.4614281675709	56.626810532911	25.0309305890611	32.6254380977993	44.7688496311516	60.9951794290323	39.4356341318798	106.279891263858	32.703360265152	34.173852058659	30.380211971846	79.1344579042724	51.7942927160348	70.1174765109859	27.1497580823605	32.7845973197791	27.6956469939066	61.6640641722166	32.463774866091	27.3557190822884	53.1330113610679	33.2461210198079	71.7144196107698	24.9608313515566	31.9311511342718	18.9005680403715	85.3283430441541	16.8618138679645	20.2830391261235	46.3502719015262	22.1384152522433	39.5331765992741	7.32763436231595	22.4395478822011
conserved	FBgn0031322	2L	1185757	1196807	FBgn0078585	4_group3	9642654	9650602	308.993821034248	277.409277705671	1307.23126428819	32.3972603313202	349.765729559824	695.711143213953	1135.7117087707	207.010515319161	341.596199642041	341.935177875331	1702.61121772332	43.4037940708542	293.397591690399	305.854077844116	932.529577322055	353.182583507741	502.106572688443	363.144569563202	1436.7152019431	32.8538494450111	412.18600889962	760.499628978524	1190.5606202401	243.945558664164	417.767511618918	433.581439051655	2054.70048250684	48.0469443988562	287.126147284657	262.598714435176	1179.12810006531	409.192505696263	228.468068079607	208.40296065244	12.7193979176644	188.625681543205	325.350952316111	560.228213765665	63.7678612016617	275.502172611512	212.523922240301	26.5851210958726	184.038380607577	400.992434050466	679.377394722255	162.764393015106
conserved	FBgn0002543	2L	1380086	1420453	FBgn0078914	4_group3	9892684	10032511	189.060458694729	102.815832716517	193.968023828068	11.5346625063324	120.003648013864	80.379874468334	73.796169022372	72.3619994770464	157.413089124315	94.131259346538	193.55864943025	13.4352789800699	109.896283297368	54.3236240901052	85.9182188427245	58.5406768658361	82.5349462102817	275.33118501381	89.3394636686495	10.8835102419628	101.974449956026	51.3378768998982	64.595761846882	41.9904878405016	74.1582444177586	293.862046571193	93.8997775333405	56.9589459700195	97.834628496319	32.153146231276	82.6348909778546	86.6040099178026	16.8593400497643	208.381260433121	18.5309601606488	82.9828948302692	17.9614831062584	24.7258303701175	32.9639651316802	14.7678170605438	73.2816220519514	136.142041947143	81.7779869587171	17.6339475878747	30.8000751159558	79.6553006837503
conserved	FBgn0053128	2L	1494070	1495456	FBgn0077316	4_group3	10052154	10053496	0	0	0	3.95556602532159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.473314837892233	0	0	0	0.360651241476863	0	0	0	0	0	0	0	0	0	283.818753600981	0.619368929625645	0	0	0	24.7970844355746	0	514.181737695355	1.44002538139229	1.04676346961082	0	1.97909733356939	28.7796492340558
conserved	FBgn0051926	2L	1495460	1497071	FBgn0076585	4_group3	10053602	10054978	0	0	0	166.068444501539	0	0	0	0	0	0	0	2.77519580121466	0	0	0	0	0	0	0	101.016251963244	0	0	0	0	0	0	0	0.244035468171139	0	0	0	0	0	5.80565762490205	49.3604164417835	0	0	0	0.714816389397874	0	11.9008150851442	0.80844779004462	0	0	0	1.08504860502676
conserved	FBgn0051661	2L	1497243	1498583	FBgn0076390	4_group3	10055259	10056615	0	0	0	141.001382524995	0	0	0	70.4615098129814	0	0	0	0	0	0	0	0	0	0	0	132.682228082294	0	0	0	23.2589550326879	0	0	0	0.328447192326926	0	0	0	0	0	0	86.1233708313842	0	0	0	8.19064910271725	0	0	0	0	0	0	0.239532455829128
conserved	FBgn0031343	2L	1498455	1500608	FBgn0074834	4_group3	10056788	10058855	3.20890759848497	11.8075948895186	0	19.2758654251994	1.8586963352288	0.755101753554543	0.664073626963788	10.0997079384101	0.514794230998263	0	0.452140430107363	2449.06712090728	0.525249139107223	0.59297134678653	0.264883671154535	447.27168115219	0	4.0431111405772	0	1.57121750951534	0	0	0.307896812332962	0.533330899329223	6.89073812232303	0	0	2869.01117522353	0	0	0.215458640603315	469.909973224702	0	0	0	0	0	0	0	0	0	182.298741583286	0.250658136849122	2.4440037481195	0	52.0097766647335
conserved	FBgn0264978	2L	2488197	2492671	FBgn0250231	4_group4	1770468	1773600	547.88581684736	395.903461608195	386.093209855198	191.358184444672	227.688347643968	407.296490083313	261.735872697763	237.92520243152	688.417076058582	415.364974966448	248.087236571795	577.468946457357	229.465173506686	1221.99477854085	270.76888047238	374.901767331951	558.434289000488	365.618861911081	355.172391457969	190.698215008296	241.874708823117	464.965436862897	235.467706597152	244.83595264547	681.12385492506	350.17155798683	240.270488759733	661.489465273944	226.689054602741	943.739871449133	237.422537007738	408.070060826572	485.38068161703	297.110054141517	210.160617402315	217.329158804753	364.900497207235	259.352738144359	229.903907712055	643.723446713105	290.974166753751	317.449950055644	217.794772697175	709.911998700309	215.871277770688	271.378577434416
